north,south,east,west,servo1,servo2,servo3,servo4
90.0,45.0,2.5,-10.0,2.674,2.159,1.425,1.525
90.0,45.0,2.5,-10.0,2.676,2.158,1.425,1.526
90.0,45.0,2.5,-10.0,2.673,2.158,1.426,1.525
90.0,45.0,2.5,-10.0,2.673,2.159,1.426,1.525
90.0,45.0,2.5,-10.0,2.674,2.159,1.424,1.526
90.0,45.0,2.5,-10.0,2.673,2.159,1.425,1.526
90.0,45.0,2.5,-10.0,2.673,2.159,1.426,1.525
90.0,45.0,2.5,-10.0,2.673,2.16,1.424,1.523
90.0,45.0,2.5,-10.0,2.674,2.159,1.424,1.525
90.0,45.0,2.5,-10.0,2.673,2.159,1.425,1.525
90.0,45.0,2.5,-10.0,2.673,2.159,1.426,1.525
90.0,45.0,2.5,-10.0,2.675,2.159,1.424,1.524
90.0,45.0,2.5,-10.0,2.674,2.161,1.425,1.526
90.0,45.0,2.5,-10.0,2.675,2.16,1.427,1.525
90.0,45.0,2.5,30.0,2.677,2.159,1.423,1.532
90.0,45.0,7.5,30.0,2.674,2.157,1.447,1.573
90.0,45.0,7.5,30.0,2.674,2.157,1.737,1.574
90.0,45.0,7.5,30.0,2.674,2.157,1.822,1.574
90.0,45.0,7.5,30.0,2.673,2.159,1.821,1.574
90.0,45.0,7.5,30.0,2.674,2.16,1.821,1.574
90.0,45.0,7.5,30.0,2.674,2.159,1.82,1.574
90.0,45.0,7.5,30.0,2.674,2.159,1.819,1.575
90.0,45.0,7.5,30.0,2.675,2.161,1.82,1.575
90.0,45.0,7.5,30.0,2.675,2.16,1.822,1.575
90.0,45.0,7.5,30.0,2.675,2.159,1.82,1.574
90.0,45.0,7.5,30.0,2.675,2.16,1.82,1.574
90.0,45.0,7.5,30.0,2.672,2.159,1.822,1.575
90.0,45.0,7.5,30.0,2.674,2.159,1.821,1.574
90.0,45.0,7.5,30.0,2.673,2.159,1.821,1.575
90.0,45.0,7.5,30.0,2.673,2.161,1.821,1.576
90.0,45.0,7.5,30.0,2.674,2.158,1.82,1.575
90.0,45.0,7.5,30.0,2.673,2.158,1.819,1.573
90.0,45.0,7.5,30.0,2.672,2.157,1.818,1.573
90.0,45.0,7.5,30.0,2.674,2.16,1.82,1.575
90.0,45.0,7.5,30.0,2.675,2.156,1.821,1.574
-90.0,-45.0,7.5,10.0,2.68,2.164,1.82,1.583
-90.0,-45.0,12.5,10.0,2.336,1.82,1.818,1.622
-90.0,-45.0,12.5,10.0,1.688,1.273,1.64,1.625
-90.0,-45.0,12.5,10.0,1.036,1.173,1.628,1.626
-90.0,-45.0,12.5,10.0,0.669,1.169,1.627,1.627
-90.0,-45.0,12.5,10.0,0.661,1.169,1.627,1.627
-90.0,-45.0,12.5,10.0,0.661,1.169,1.626,1.627
-90.0,-45.0,12.5,10.0,0.659,1.168,1.627,1.626
-90.0,-45.0,12.5,10.0,0.662,1.169,1.625,1.626
-90.0,-45.0,12.5,10.0,0.66,1.17,1.627,1.627
-90.0,-45.0,12.5,10.0,0.66,1.169,1.627,1.627
-90.0,-45.0,12.5,10.0,0.662,1.17,1.627,1.627
-90.0,-45.0,12.5,10.0,0.661,1.17,1.626,1.627
-90.0,-45.0,12.5,10.0,0.663,1.169,1.626,1.627
-90.0,-45.0,12.5,10.0,0.66,1.17,1.627,1.627
-90.0,-45.0,12.5,10.0,0.662,1.169,1.628,1.626
-90.0,-45.0,12.5,10.0,0.661,1.171,1.625,1.626
-90.0,-45.0,12.5,10.0,0.661,1.171,1.628,1.629
-90.0,-45.0,12.5,10.0,0.659,1.169,1.626,1.627
-90.0,-45.0,12.5,10.0,0.661,1.168,1.627,1.625
-90.0,-45.0,12.5,10.0,0.662,1.169,1.627,1.626
-90.0,-45.0,12.5,50.0,0.662,1.169,1.627,1.634
-90.0,-45.0,17.5,50.0,0.66,1.169,1.648,1.674
-90.0,-45.0,17.5,50.0,0.661,1.168,1.933,1.675
-90.0,-45.0,17.5,50.0,0.661,1.17,2.026,1.676
-90.0,-45.0,17.5,50.0,0.661,1.168,2.027,1.673
-90.0,-45.0,17.5,50.0,0.661,1.17,2.026,1.674
-90.0,-45.0,17.5,50.0,0.661,1.17,2.028,1.675
-90.0,-45.0,17.5,50.0,0.662,1.171,2.027,1.675
-90.0,-45.0,17.5,50.0,0.661,1.167,2.027,1.675
-90.0,-45.0,17.5,50.0,0.662,1.17,2.027,1.675
-90.0,-45.0,17.5,50.0,0.661,1.169,2.028,1.676
-90.0,-45.0,17.5,50.0,0.661,1.169,2.027,1.674
-90.0,-45.0,17.5,50.0,0.66,1.169,2.028,1.676
-90.0,-45.0,17.5,50.0,0.66,1.17,2.028,1.675
-90.0,-45.0,17.5,50.0,0.661,1.17,2.027,1.675
-90.0,-45.0,17.5,50.0,0.663,1.169,2.027,1.674
-90.0,-45.0,17.5,50.0,0.661,1.17,2.027,1.674
-90.0,-45.0,17.5,50.0,0.66,1.17,2.026,1.674
-90.0,-45.0,17.5,50.0,0.661,1.17,2.028,1.675
-90.0,-45.0,17.5,50.0,0.659,1.169,2.028,1.675
-90.0,-45.0,17.5,50.0,0.661,1.169,2.027,1.675
90.0,45.0,17.5,-50.0,0.685,1.203,2.026,1.676
90.0,45.0,-17.5,-50.0,1.058,1.575,2.023,1.407
90.0,45.0,-17.5,-50.0,1.685,2.063,1.706,1.326
90.0,45.0,-17.5,-50.0,2.334,2.162,1.201,1.329
90.0,45.0,-17.5,-50.0,2.665,2.16,1.018,1.333
90.0,45.0,-17.5,-50.0,2.673,2.16,1.016,1.331
90.0,45.0,-17.5,-50.0,2.673,2.16,1.016,1.33
90.0,45.0,-17.5,-50.0,2.674,2.159,1.016,1.332
90.0,45.0,-17.5,-50.0,2.677,2.16,1.017,1.331
90.0,45.0,-17.5,-50.0,2.675,2.159,1.017,1.331
90.0,45.0,-17.5,-50.0,2.674,2.16,1.017,1.331
90.0,45.0,-17.5,-50.0,2.674,2.16,1.016,1.331
90.0,45.0,-17.5,-50.0,2.674,2.159,1.016,1.33
90.0,45.0,-17.5,-50.0,2.674,2.161,1.016,1.332
90.0,45.0,-17.5,-50.0,2.674,2.16,1.017,1.331
90.0,45.0,-17.5,-50.0,2.674,2.161,1.016,1.331
90.0,45.0,-17.5,-50.0,2.674,2.16,1.015,1.331
90.0,45.0,-17.5,-50.0,2.673,2.159,1.017,1.331
90.0,45.0,-17.5,-50.0,2.675,2.16,1.016,1.333
90.0,45.0,-17.5,-50.0,2.675,2.159,1.016,1.33
90.0,45.0,-17.5,-50.0,2.675,2.159,1.016,1.332
90.0,45.0,-17.5,-10.0,2.676,2.157,1.016,1.34
90.0,45.0,-12.5,-10.0,2.674,2.161,1.04,1.378
90.0,45.0,-12.5,-10.0,2.674,2.161,1.332,1.379
90.0,45.0,-12.5,-10.0,2.674,2.16,1.42,1.378
90.0,45.0,-12.5,-10.0,2.673,2.16,1.42,1.378
90.0,45.0,-12.5,-10.0,2.674,2.159,1.418,1.378
90.0,45.0,-12.5,-10.0,2.674,2.159,1.418,1.377
90.0,45.0,-12.5,-10.0,2.672,2.159,1.418,1.376
90.0,45.0,-12.5,-10.0,2.673,2.158,1.419,1.378
90.0,45.0,-12.5,-10.0,2.672,2.159,1.419,1.377
90.0,45.0,-12.5,-10.0,2.673,2.161,1.42,1.379
90.0,45.0,-12.5,-10.0,2.673,2.159,1.418,1.378
90.0,45.0,-12.5,-10.0,2.673,2.159,1.419,1.378
90.0,45.0,-12.5,-10.0,2.673,2.159,1.417,1.376
90.0,45.0,-12.5,-10.0,2.674,2.16,1.419,1.379
90.0,45.0,-12.5,-10.0,2.674,2.16,1.418,1.378
90.0,45.0,-12.5,-10.0,2.674,2.159,1.418,1.378
90.0,45.0,-12.5,-10.0,2.673,2.159,1.417,1.378
90.0,45.0,-12.5,-10.0,2.673,2.158,1.419,1.377
90.0,45.0,-12.5,-10.0,2.675,2.16,1.418,1.377
90.0,45.0,-12.5,-10.0,2.674,2.159,1.418,1.378
-90.0,-45.0,-12.5,-30.0,2.678,2.163,1.419,1.383
-90.0,-45.0,-7.5,-30.0,2.327,1.832,1.425,1.419
-90.0,-45.0,-7.5,-30.0,1.691,1.271,1.235,1.422
-90.0,-45.0,-7.5,-30.0,1.033,1.173,1.223,1.427
-90.0,-45.0,-7.5,-30.0,0.672,1.168,1.219,1.426
-90.0,-45.0,-7.5,-30.0,0.663,1.17,1.218,1.424
-90.0,-45.0,-7.5,-30.0,0.662,1.17,1.22,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.17,1.218,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.169,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.663,1.17,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.17,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.168,1.219,1.424
-90.0,-45.0,-7.5,-30.0,0.661,1.169,1.218,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.168,1.218,1.424
-90.0,-45.0,-7.5,-30.0,0.662,1.169,1.217,1.425
-90.0,-45.0,-7.5,-30.0,0.661,1.171,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.169,1.22,1.425
-90.0,-45.0,-7.5,-30.0,0.662,1.168,1.219,1.425
-90.0,-45.0,-7.5,-30.0,0.663,1.169,1.218,1.426
-90.0,-45.0,-7.5,-30.0,0.661,1.171,1.219,1.424
-90.0,-45.0,-7.5,-30.0,0.663,1.17,1.219,1.425
-90.0,-45.0,-7.5,10.0,0.664,1.168,1.219,1.44
-90.0,-45.0,-2.5,10.0,0.661,1.167,1.242,1.474
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.532,1.477
-90.0,-45.0,-2.5,10.0,0.66,1.17,1.626,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.168,1.622,1.476
-90.0,-45.0,-2.5,10.0,0.663,1.168,1.622,1.474
-90.0,-45.0,-2.5,10.0,0.663,1.169,1.625,1.475
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.624,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.625,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.171,1.624,1.477
-90.0,-45.0,-2.5,10.0,0.663,1.17,1.625,1.476
-90.0,-45.0,-2.5,10.0,0.663,1.169,1.623,1.474
-90.0,-45.0,-2.5,10.0,0.663,1.169,1.624,1.475
-90.0,-45.0,-2.5,10.0,0.662,1.17,1.624,1.476
-90.0,-45.0,-2.5,10.0,0.663,1.171,1.623,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.17,1.624,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.169,1.623,1.475
-90.0,-45.0,-2.5,10.0,0.663,1.17,1.622,1.476
-90.0,-45.0,-2.5,10.0,0.662,1.17,1.622,1.475
-90.0,-45.0,-2.5,10.0,0.661,1.169,1.623,1.475
-90.0,-45.0,-2.5,10.0,0.664,1.171,1.624,1.475
90.0,45.0,-2.5,-10.0,0.69,1.207,1.623,1.482
90.0,45.0,2.5,-10.0,1.065,1.577,1.623,1.524
